"IdLabel";"weight";"cond";"day";"cohort_day";"cohort";"cage";"prob_cond";"successes";"failures";"sampling";"group";"prob_cen"
"Ind21";9.01;"plast";20;3;"2";2;0.5;670;15;0.0218978102189781;"50-83-30";-0.0447021276595745
"Ind21";9.225;"plast";21;4;"2";2;0.5;707;16;0.0221300138312586;"50-83-30";-0.0447021276595745
"Ind21";8.849;"plast";22;5;"2";2;0.5;441;0;0;"50-83-30";-0.0447021276595745
"Ind21";9.143;"plast";23;6;"2";2;0.83;481;0;0;"50-83-30";0.285297872340425
"Ind21";9.11;"plast";24;7;"2";2;0.83;385;4;0.0102827763496144;"50-83-30";0.285297872340425
"Ind21";8.984;"plast";25;8;"2";2;0.83;342;0;0;"50-83-30";0.285297872340425
"Ind21";8.769;"plast";26;9;"2";2;0.83;224;8;0.0344827586206897;"50-83-30";0.285297872340425
"Ind21";8.949;"plast";27;10;"2";2;0.3;880;1;0.00113507377979569;"50-83-30";-0.244702127659574
"Ind21";8.691;"plast";28;11;"2";2;0.3;761;3;0.00392670157068063;"50-83-30";-0.244702127659574
"Ind21";8.438;"plast";29;12;"2";2;0.3;332;0;0;"50-83-30";-0.244702127659574
"Ind21";8.454;"plast";30;13;"2";2;0.3;451;1;0.00221238938053097;"50-83-30";-0.244702127659574
"Ind22";8.266;"plast";19;2;"2";2;0.5;390;10;0.025;"50-83-30";-0.0447021276595745
"Ind22";7.969;"plast";20;3;"2";2;0.5;184;89;0.326007326007326;"50-83-30";-0.0447021276595745
"Ind22";8.148;"plast";23;6;"2";2;0.83;220;0;0;"50-83-30";0.285297872340425
"Ind22";7.636;"plast";25;8;"2";2;0.83;95;6;0.0594059405940594;"50-83-30";0.285297872340425
"Ind22";7.459;"plast";26;9;"2";2;0.83;94;18;0.160714285714286;"50-83-30";0.285297872340425
"Ind22";7.73;"plast";27;10;"2";2;0.3;371;0;0;"50-83-30";-0.244702127659574
"Ind22";7.467;"plast";28;11;"2";2;0.3;222;20;0.0826446280991736;"50-83-30";-0.244702127659574
"Ind22";7.267;"plast";29;12;"2";2;0.3;180;17;0.0862944162436548;"50-83-30";-0.244702127659574
"Ind22";7.495;"plast";30;13;"2";2;0.3;242;14;0.0546875;"50-83-30";-0.244702127659574
"Ind23";9.253;"plast";19;2;"2";2;0.5;298;38;0.113095238095238;"50-83-30";-0.0447021276595745
"Ind23";9.245;"plast";20;3;"2";2;0.5;244;112;0.314606741573034;"50-83-30";-0.0447021276595745
"Ind23";9.048;"plast";21;4;"2";2;0.5;246;92;0.272189349112426;"50-83-30";-0.0447021276595745
"Ind23";9.051;"plast";22;5;"2";2;0.5;470;92;0.163701067615658;"50-83-30";-0.0447021276595745
"Ind23";9.301;"plast";24;7;"2";2;0.83;243;59;0.195364238410596;"50-83-30";0.285297872340425
"Ind23";9.129;"plast";25;8;"2";2;0.83;211;48;0.185328185328185;"50-83-30";0.285297872340425
"Ind23";8.884;"plast";26;9;"2";2;0.83;127;27;0.175324675324675;"50-83-30";0.285297872340425
"Ind23";9.014;"plast";28;11;"2";2;0.3;573;31;0.0513245033112583;"50-83-30";-0.244702127659574
"Ind23";8.834;"plast";29;12;"2";2;0.3;332;12;0.0348837209302326;"50-83-30";-0.244702127659574
"Ind23";8.978;"plast";30;13;"2";2;0.3;363;58;0.137767220902613;"50-83-30";-0.244702127659574
"Ind24";8.441;"plast";19;2;"2";2;0.5;365;27;0.0688775510204082;"50-83-30";-0.0447021276595745
"Ind24";8.044;"plast";21;4;"2";2;0.5;275;98;0.262734584450402;"50-83-30";-0.0447021276595745
"Ind24";8.263;"plast";23;6;"2";2;0.83;293;0;0;"50-83-30";0.285297872340425
"Ind24";7.778;"plast";25;8;"2";2;0.83;143;30;0.173410404624277;"50-83-30";0.285297872340425
"Ind24";7.589;"plast";26;9;"2";2;0.83;118;35;0.228758169934641;"50-83-30";0.285297872340425
"Ind24";7.883;"plast";27;10;"2";2;0.3;470;6;0.0126050420168067;"50-83-30";-0.244702127659574
"Ind24";7.588;"plast";28;11;"2";2;0.3;331;206;0.383612662942272;"50-83-30";-0.244702127659574
"Ind25";8.664;"plast";36;2;"3";1;0.5;565;110;0.162962962962963;"50-30-83";-0.0447021276595745
"Ind25";8.502;"plast";37;3;"3";1;0.5;388;262;0.403076923076923;"50-30-83";-0.0447021276595745
"Ind25";8.26;"plast";38;4;"3";1;0.5;393;139;0.261278195488722;"50-30-83";-0.0447021276595745
"Ind25";8.257;"plast";39;5;"3";1;0.5;528;36;0.0638297872340425;"50-30-83";-0.0447021276595745
"Ind25";8.447;"plast";40;6;"3";1;0.3;963;85;0.0811068702290076;"50-30-83";-0.244702127659574
"Ind25";8.315;"plast";41;7;"3";1;0.3;730;108;0.128878281622912;"50-30-83";-0.244702127659574
"Ind25";8.216;"plast";42;8;"3";1;0.3;665;350;0.344827586206897;"50-30-83";-0.244702127659574
"Ind25";8.185;"plast";43;9;"3";1;0.3;590;60;0.0923076923076923;"50-30-83";-0.244702127659574
"Ind25";8.244;"plast";44;10;"3";1;0.83;298;9;0.0293159609120521;"50-30-83";0.285297872340425
"Ind25";8.081;"plast";45;11;"3";1;0.83;262;8;0.0296296296296296;"50-30-83";0.285297872340425
"Ind25";7.842;"plast";46;12;"3";1;0.83;216;0;0;"50-30-83";0.285297872340425
"Ind25";7.783;"plast";47;13;"3";1;0.83;162;12;0.0689655172413793;"50-30-83";0.285297872340425
"Ind26";9.032;"plast";36;2;"3";1;0.5;410;101;0.197651663405088;"50-30-83";-0.0447021276595745
"Ind26";9.048;"plast";37;3;"3";1;0.5;424;11;0.0252873563218391;"50-30-83";-0.0447021276595745
"Ind26";9.008;"plast";38;4;"3";1;0.5;496;11;0.0216962524654832;"50-30-83";-0.0447021276595745
"Ind26";8.898;"plast";39;5;"3";1;0.5;361;88;0.195991091314031;"50-30-83";-0.0447021276595745
"Ind26";9.04;"plast";40;6;"3";1;0.3;814;10;0.0121359223300971;"50-30-83";-0.244702127659574
"Ind26";8.925;"plast";41;7;"3";1;0.3;574;37;0.060556464811784;"50-30-83";-0.244702127659574
"Ind26";8.902;"plast";42;8;"3";1;0.3;585;110;0.158273381294964;"50-30-83";-0.244702127659574
"Ind26";8.879;"plast";43;9;"3";1;0.3;578;38;0.0616883116883117;"50-30-83";-0.244702127659574
"Ind26";9.108;"plast";45;11;"3";1;0.83;164;7;0.0409356725146199;"50-30-83";0.285297872340425
"Ind26";9.04;"plast";46;12;"3";1;0.83;277;14;0.0481099656357388;"50-30-83";0.285297872340425
"Ind26";8.906;"plast";47;13;"3";1;0.83;247;19;0.0714285714285714;"50-30-83";0.285297872340425
"Ind27";8.202;"plast";36;2;"3";1;0.5;414;129;0.237569060773481;"50-30-83";-0.0447021276595745
"Ind27";8.062;"plast";37;3;"3";1;0.5;246;28;0.102189781021898;"50-30-83";-0.0447021276595745
"Ind27";8.001;"plast";38;4;"3";1;0.5;414;15;0.034965034965035;"50-30-83";-0.0447021276595745
"Ind27";7.917;"plast";39;5;"3";1;0.5;369;135;0.267857142857143;"50-30-83";-0.0447021276595745
"Ind27";8.091;"plast";40;6;"3";1;0.3;525;124;0.191063174114022;"50-30-83";-0.244702127659574
"Ind27";7.832;"plast";42;8;"3";1;0.3;258;263;0.504798464491363;"50-30-83";-0.244702127659574
"Ind27";7.79;"plast";43;9;"3";1;0.3;530;359;0.403824521934758;"50-30-83";-0.244702127659574
"Ind27";8.253;"plast";44;10;"3";1;0.83;209;3;0.0141509433962264;"50-30-83";0.285297872340425
"Ind27";8.029;"plast";45;11;"3";1;0.83;172;14;0.0752688172043011;"50-30-83";0.285297872340425
"Ind27";7.94;"plast";46;12;"3";1;0.83;312;10;0.031055900621118;"50-30-83";0.285297872340425
"Ind27";7.814;"plast";47;13;"3";1;0.83;212;4;0.0185185185185185;"50-30-83";0.285297872340425
"Ind28";8.867;"plast";36;2;"3";1;0.5;617;6;0.00963081861958266;"50-30-83";-0.0447021276595745
"Ind28";8.904;"plast";37;3;"3";1;0.5;422;12;0.0276497695852535;"50-30-83";-0.0447021276595745
"Ind28";8.796;"plast";38;4;"3";1;0.5;610;4;0.00651465798045603;"50-30-83";-0.0447021276595745
"Ind28";8.772;"plast";39;5;"3";1;0.5;567;18;0.0307692307692308;"50-30-83";-0.0447021276595745
